file	packed_size	unpacked_size	blocks	packed_sha256	unpacked_sha256	block_unpacked_sizes
PRUMS/R30.PAC	1037	2048	1	57ea5a0b76b94c9237d47a2f9cd0b4f49fb76dcb178892286a5066bba86bd8c9	da25303abc686724f3caad35c15384579f2d84be48c40335a200869ef1cf8817	2048
PRUMS/R40.PAC	1095	2048	1	37f4a538703ff1fb99a744ebe53f3e68867225cb56897b0484ee41b4c96e1a30	bf496c53a433e978845cce2c7031ea1e10e7bf4b8c945e03cad2e11a236e5b18	2048
PRUMS/R41.PAC	1059	2048	1	d0be480841ff6cd5bdb7098835c4edfcca24f3b0df431bf9577f45a719e101da	358822ae49488f13e5017c5cdd25060d358337a43dc362720e644a00ba975f47	2048
PRUMS/R50.PAC	1182	2048	1	e4b76fe1575c971dfe030ba82937b84f52988608621c57517aabbeaf1cdd6a8f	bd2c214febf2c87e31380892c8a3d6f1fe73b281d90c767bf912ed8d364bca10	2048
PRUMS/R51.PAC	125	2048	1	347be71c1ca378a2fb48b10d36c7aae04f88d5f009ff258c0499e1632e696417	be719cfaf34efd7b44fe6ab5091dba88ede3f3e1830f8394fa8a1d974781ccb9	2048
PRUMS/R60.PAC	1104	2048	1	771d756c74a59a91940ad39790b6f0175f10b58f2c3b5899641b26639b45afa9	0e2ced1fd68e2f6697f1ad101ae48506092e4b1e1d4f865e4521cf024b46abae	2048
PRUMS/R61.PAC	921	2048	1	33b317abf561254c9538a2bd03fcc7e60e9f7e3c9e7ff98d85c44b1adf2eb2af	ef4e6200f3c00de14853956f62706de2f8b588251b21d83db03ee7333e816323	2048
PRUMS/R62.PAC	828	2048	1	847a1bf491e0f7eb687d69ffddc02b1c3c3be1456753d534b45a3e7670d5aff4	8821d1afcee0c34c75d90dd7fa77b470b7710825ee1a55d9ef1f711c9300f503	2048
SPIT/M00.PAC	8858	15360	3	8c2e9d07f716cbfbd1c6f71bcc1cb97d07ea71a5dfb5ec8bc61c7d20e163649f	5956067b459253c278229b926b5ef9a3560d2d6abf43bd0fc90897201195c2d9	3840,5760,5760
SPIT/M01.PAC	10559	15360	4	3a294e0932d613f80bf8e80c74d8ca95f0a7f80e46bf73023575242af6d033c5	48317d7d72e1fcbffe1e10236b028ff62e05e058271b57224b053c77f90aa34e	3840,2880,4320,4320
SPIT/M02.PAC	10943	15360	4	655862e64c0113e0c4e166411f95a8e73c064443e3bd84c0f4a9eb1f88959ca4	e1e25ad4e7d89ca59773a2952932c6eb26f0bda61f0f102eb9a6981f950b9adb	3840,2880,4320,4320
SPIT/M03.PAC	8440	15360	4	8b0e85ae4ff77e34f2c1ef7ed93cd4d61221a417dd2a56a80e01c3393a6580d9	0cff0fee6b98537ac25c2676cba3f3ab02cf72d55aa6712089c4e4734de6fe2d	3840,2880,4320,4320
SPIT/M04.PAC	10272	15360	6	3e8501371e24df4f322192c6cf53c917cdd859948c7f2a7c5b0e08596bed2b0e	d1a9a973aaf6c19dc79795ee1bd69c1964146ef4d569937ba67a5c71505f7536	3840,2880,2160,1620,2430,2430
SPIT/M05.PAC	9362	15360	3	12a1ae17fc6166f23e899d949830ca8ca6a05b5bee0196de4c482f374f0e9b87	a392ac1e01bc7892705bbe72323127f91e845033533e8e92ebcfcb9cbf1afdb3	3840,5760,5760
SPIT/M06.PAC	7779	15360	2	ce02c94f91df4db1c032a856f57e44aa5f30e774691d239c99831ce3474b0e08	9e4e42d6859af312718373207723611f0d3123b7d1a9e95c41be2113d0b24ca0	7680,7680
SPIT/M07.PAC	8223	15360	3	af880cb6035ea69e58d11f5daf1ae8c7414c29e7b47203ab92769d0a10341c17	399706b8133a8828ec396c0803cb8603cf4adddeda83ce08afb3fd52583261c7	3840,5760,5760
SPIT/M08.PAC	8867	15360	4	58f4e5b6689ee781d35696328bfd7f722d5c674364cdfa58b0b96f57dc8929ba	7eb798a34bc82412a2b26390a68ae6180d0a0b68e42f1dd6e7a7c1c3f7b2be9d	3840,2880,4320,4320
SPIT/M09.PAC	9062	15360	3	c83677f10aaef6765e83824dac08e6dbd3f42a95823d140785b8353caa504a6b	c0621e95b8013d84f458e504205ee947e45099c7b233fe20594d884af22900f7	3840,5760,5760
SPIT/M0A.PAC	8291	15360	3	9e80cd6236f5672e9d707a379ab54c75dc720b6d2be538400ef25ad7188c4b3c	b645ca7ff70d12ce899c5627d67abc9e4946f40600ecf4a336d2a4f92eb60123	3840,5760,5760
SPIT/M0B.PAC	9053	15360	4	b3c59d03b790f51eccec6c7352eefc330f771011e113b1855eca52226a8f54ec	8b78a013bddb0b732750ca7fd1b9c4970865d396267ad288a379a8a7b8bd218d	3840,2880,4320,4320
