file	block_index	offset_hex	continuation	rule_count	payload_size	unpacked_size	unpacked_sha256
PACS/F1.PAC	8	0x49D4	0	22	3528	4746	d834a41754c6e49397807700862981db2a94e69ad32fee89a59e3e0727102339
PACS/F2.PAC	0	0x0	1	22	3653	6102	3157191f60fd03ef756882bd0ed789953c9ae12266f2984f583aa0355fba1674
PACS/F2.PAC	1	0xE8B	1	42	2335	4576	70a6792d115c783acb7f7ee7cabfb1df6e80f40b36b1a2ab850b670ab0d9b3c6
PACS/F2.PAC	2	0x182C	1	27	3893	6865	f0e5f50d0758e3a392b8415ff6f761a3d92bb0ba60086227915a3b6ecaa8c514
PACS/F2.PAC	3	0x27B6	1	46	1956	3432	981ea48a003a2d57126244300e2f12880f0bdf3a3a351e35671d8185ce41a751
PACS/F2.PAC	4	0x2FE8	0	60	1764	3433	55b3156a52f74fc460d407d9efd1ed2afdc2484566fd1708605e6cb90e66adac
PACS/PARTY.PAC	0	0x0	1	34	5171	16000	41f8e572517b05d621de2d442471557b2ec5b02575affe252c8d7e3509a36c4c
PACS/PARTY.PAC	1	0x149D	1	49	1384	4000	6cdea4f7dff74fac1372de49832abe13f2f4de99afac50e5beab21897ed12b36
PACS/PARTY.PAC	2	0x1A9C	1	24	1426	3000	ed8b42b92a31d2cba003e7f31fbc14af544a10161f1941bd718ec15b59e6ea25
PACS/PARTY.PAC	3	0x207A	0	41	2977	9000	53ed536f83aca868b24b6335534b54f3b685233cebd7c39df642f3c879725b2f
PACS/TILES2.PAC	0	0x0	1	22	2107	2840	5967e882b8f26db8e26f125639864e6aa86ed9e8f171fae2bf9d3003021ff88c
PACS/TILES2.PAC	1	0x881	1	30	1801	2485	7e41020526a651147163fcd35b320e7de3fa806e9253d9185f5fb34efbabb680
PACS/TILES2.PAC	2	0xFE8	1	26	3212	4348	4309d00face862e4d96d11aa077c7426a0997619aaedb846859ce6a863a2a2c7
PACS/TILES2.PAC	3	0x1CC6	1	38	3867	6523	9cca34f2fb34002616fcac4b2114a7da76527e461ffdaa48d576c74c8301fded
PACS/TILES2.PAC	4	0x2C57	1	53	1835	3262	3eb521f2575d0d567cd39598bffe32c6d1f56378c735d05b0cec57cc7a2d4d31
PACS/TILES2.PAC	5	0x3425	0	30	2419	3262	7d95d3cbb95ca73e67bd77cc74b22e47a94e924b0165cd5c6b966e0fe4cd7f1a
PACS/TILESX.PAC	0	0x0	1	24	2718	3584	b8d8ffa1640e721604d112108be14aeffb233e40f09c00850ae705c611d2197f
PACS/TILESX.PAC	1	0xAEA	1	37	1874	2688	0871988b0d666e6f206e588efcbbda0dcba87e29f27d78390ffd2a38832a8b2b
